folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,task_key
ex_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.019626,0.173275,0.619214,0.038137,,lockin,,,10.007737,4,lockin:lockin::None:10.007736611364223:4:8:binary:0
ex_R_4,frame_00000.png,frame_00119.png,ex_R_4/rgb_max_lockin_f300_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.249616,0.274577,0.500142,0.294042,,lockin,,,10.007737,8,lockin:lockin::None:10.007736611364223:8:8:binary:0
ex_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.399541,0.434110,0.602454,0.378660,,lockin,,,10.007737,12,lockin:lockin::None:10.007736611364223:12:8:binary:0
ex_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.029457,0.185840,0.610145,0.053979,,lockin,,,15.000000,4,lockin:lockin::None:15.0:4:8:binary:0
ex_R_4,frame_00000.png,frame_00119.png,ex_R_4/rgb_max_lockin_f300_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.684813,0.410083,0.538981,0.625565,,lockin,,,15.000000,8,lockin:lockin::None:15.0:8:8:binary:0
ex_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.365919,0.463202,0.624843,0.316144,,lockin,,,15.000000,12,lockin:lockin::None:15.0:12:8:binary:0
ex_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.543568,0.660760,0.739231,0.120215,,lockin,,,30.000000,4,lockin:lockin::None:30.0:4:8:binary:0
ex_R_4,frame_00000.png,frame_00119.png,ex_R_4/rgb_max_lockin_f300_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.418042,0.772098,0.749921,0.033606,,lockin,,,30.000000,8,lockin:lockin::None:30.0:8:8:binary:0
ex_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.337173,0.830533,0.740606,0.016777,,lockin,,,30.000000,12,lockin:lockin::None:30.0:12:8:binary:0
ex_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.057947,0.193383,0.580306,0.108588,,lockin,,,10.007737,4,lockin:lockin::None:10.007736611364223:4:8:binary:0
ex_R_8,frame_00000.png,frame_00119.png,ex_R_8/rgb_max_lockin_f300_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.641548,0.465279,0.611508,0.469213,,lockin,,,10.007737,8,lockin:lockin::None:10.007736611364223:8:8:binary:0
ex_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.323389,0.522235,0.655219,0.197278,,lockin,,,10.007737,12,lockin:lockin::None:10.007736611364223:12:8:binary:0
ex_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.089210,0.188324,0.540764,0.174559,,lockin,,,15.000000,4,lockin:lockin::None:15.0:4:8:binary:0
ex_R_8,frame_00000.png,frame_00119.png,ex_R_8/rgb_max_lockin_f300_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.571111,0.505043,0.649499,0.369190,,lockin,,,15.000000,8,lockin:lockin::None:15.0:8:8:binary:0
ex_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.263508,0.539223,0.659047,0.142404,,lockin,,,15.000000,12,lockin:lockin::None:15.0:12:8:binary:0
ex_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.682276,0.693331,0.780359,0.077074,,lockin,,,30.000000,4,lockin:lockin::None:30.0:4:8:binary:0
ex_R_8,frame_00000.png,frame_00119.png,ex_R_8/rgb_max_lockin_f300_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.603548,0.777382,0.798161,0.036565,,lockin,,,30.000000,8,lockin:lockin::None:30.0:8:8:binary:0
ex_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.539690,0.827400,0.796884,0.022991,,lockin,,,30.000000,12,lockin:lockin::None:30.0:12:8:binary:0
ex_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.018852,0.054550,0.536299,0.185235,,lockin,,,10.007737,4,lockin:lockin::None:10.007736611364223:4:8:binary:0
ex_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.791008,0.533462,0.680638,0.331813,,lockin,,,10.007737,8,lockin:lockin::None:10.007736611364223:8:8:binary:0
ex_R_12,frame_00000.png,frame_00119.png,ex_R_12/rgb_max_lockin_f300_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.464984,0.591683,0.696546,0.120307,,lockin,,,10.007737,12,lockin:lockin::None:10.007736611364223:12:8:binary:0
ex_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.009056,0.043887,0.578719,0.111896,,lockin,,,15.000000,4,lockin:lockin::None:15.0:4:8:binary:0
ex_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.925724,0.487748,0.628967,0.488084,,lockin,,,15.000000,8,lockin:lockin::None:15.0:8:8:binary:0
ex_R_12,frame_00000.png,frame_00119.png,ex_R_12/rgb_max_lockin_f300_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.752535,0.573197,0.713598,0.232879,,lockin,,,15.000000,12,lockin:lockin::None:15.0:12:8:binary:0
ex_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.942779,0.692154,0.831047,0.083659,,lockin,,,30.000000,4,lockin:lockin::None:30.0:4:8:binary:0
ex_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.927851,0.774161,0.878454,0.052442,,lockin,,,30.000000,8,lockin:lockin::None:30.0:8:8:binary:0
ex_R_12,frame_00000.png,frame_00119.png,ex_R_12/rgb_max_lockin_f300_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.912493,0.833279,0.904246,0.035172,,lockin,,,30.000000,12,lockin:lockin::None:30.0:12:8:binary:0
rice_G_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.118948,0.283996,0.581304,0.148764,,lockin,,,10.007737,4,lockin:lockin::None:10.007736611364223:4:8:binary:0
rice_G_4,frame_00000.png,frame_00119.png,rice_G_4/rgb_max_lockin_f300_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.438286,0.403645,0.571268,0.409070,,lockin,,,10.007737,8,lockin:lockin::None:10.007736611364223:8:8:binary:0
rice_G_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.159874,0.410247,0.620654,0.153885,,lockin,,,10.007737,12,lockin:lockin::None:10.007736611364223:12:8:binary:0
rice_G_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.259708,0.297183,0.519775,0.291643,,lockin,,,15.000000,4,lockin:lockin::None:15.0:4:8:binary:0
rice_G_4,frame_00000.png,frame_00119.png,rice_G_4/rgb_max_lockin_f300_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.249241,0.429647,0.616516,0.228641,,lockin,,,15.000000,8,lockin:lockin::None:15.0:8:8:binary:0
