base_image,variant_file,index,mode,channel,psnr,ssim
nagaoka_fireworks.png,nagaoka_fireworks_3_invG.png,3,inv,G,42.377851170261714,0.8818346895005564
nagaoka_fireworks.png,nagaoka_fireworks_3_invI.png,3,inv,I,46.83356982370653,0.9752727065723905
nagaoka_fireworks.png,nagaoka_fireworks_3_invR.png,3,inv,R,42.380246428244554,0.8829917809262029
nagaoka_fireworks.png,nagaoka_fireworks_3_invX.png,3,inv,X,46.868137655841416,0.9755028045802926
nagaoka_fireworks.png,nagaoka_fireworks_3_normalB.png,3,normal,B,42.33353629057018,0.8838244732934477
nagaoka_fireworks.png,nagaoka_fireworks_3_normalG.png,3,normal,G,42.32444171028587,0.8847206597387479
nagaoka_fireworks.png,nagaoka_fireworks_3_normalI.png,3,normal,I,46.75369015539463,0.9753838671083027
nagaoka_fireworks.png,nagaoka_fireworks_3_normalR.png,3,normal,R,42.32207702497704,0.8846001601288804
nagaoka_fireworks.png,nagaoka_fireworks_3_normalX.png,3,normal,X,46.720017898069244,0.9756445120045264
nagaoka_fireworks.png,nagaoka_fireworks_4_invB.png,4,inv,B,41.94645384947549,0.8837113532377354
nagaoka_fireworks.png,nagaoka_fireworks_4_invG.png,4,inv,G,41.957571774466224,0.8814184713930563
nagaoka_fireworks.png,nagaoka_fireworks_4_invI.png,4,inv,I,45.74071820913084,0.974986587534128
nagaoka_fireworks.png,nagaoka_fireworks_4_invR.png,4,inv,R,41.96047104199253,0.8828247277003082
nagaoka_fireworks.png,nagaoka_fireworks_4_invX.png,4,inv,X,45.776559969328744,0.975348417192479
nagaoka_fireworks.png,nagaoka_fireworks_4_normalB.png,4,normal,B,41.90399256702325,0.8838014088930917
nagaoka_fireworks.png,nagaoka_fireworks_4_normalG.png,4,normal,G,41.893010789804,0.884223166218437
nagaoka_fireworks.png,nagaoka_fireworks_4_normalI.png,4,normal,I,45.657934633741405,0.9750808719141275
nagaoka_fireworks.png,nagaoka_fireworks_4_normalR.png,4,normal,R,41.890156194810054,0.8844641477131597
nagaoka_fireworks.png,nagaoka_fireworks_4_normalX.png,4,normal,X,45.62305475586794,0.9755211987609278
nagaoka_fireworks.png,nagaoka_fireworks_5_invB.png,5,inv,B,41.478761027437855,0.8829432500696777
nagaoka_fireworks.png,nagaoka_fireworks_5_invG.png,5,inv,G,41.491378972034745,0.8805568762540256
nagaoka_fireworks.png,nagaoka_fireworks_5_invI.png,5,inv,I,44.690069761100844,0.9740397777044443
nagaoka_fireworks.png,nagaoka_fireworks_5_invR.png,5,inv,R,41.49562109078591,0.8825909796979707
nagaoka_fireworks.png,nagaoka_fireworks_5_invX.png,5,inv,X,44.73298127406932,0.9744037394922164
nagaoka_fireworks.png,nagaoka_fireworks_5_normalB.png,5,normal,B,41.424459946698335,0.8837548539053105
nagaoka_fireworks.png,nagaoka_fireworks_5_normalG.png,5,normal,G,41.41315952209893,0.8837900730084283
nagaoka_fireworks.png,nagaoka_fireworks_5_normalI.png,5,normal,I,44.606078576366116,0.9748461293428345
nagaoka_fireworks.png,nagaoka_fireworks_5_normalR.png,5,normal,R,41.40868751884018,0.884275501218575
nagaoka_fireworks.png,nagaoka_fireworks_5_normalX.png,5,normal,X,44.55207309144633,0.9753545277199979
nagaoka_fireworks.png,nagaoka_fireworks_6_invB.png,6,inv,B,40.97361371202769,0.8829352040631492
nagaoka_fireworks.png,nagaoka_fireworks_6_invG.png,6,inv,G,40.98691371689429,0.8794287686290527
nagaoka_fireworks.png,nagaoka_fireworks_6_invI.png,6,inv,I,43.68908287364525,0.9735278540921862
nagaoka_fireworks.png,nagaoka_fireworks_6_invR.png,6,inv,R,40.992570695958506,0.8818562681011722
nagaoka_fireworks.png,nagaoka_fireworks_6_invX.png,6,inv,X,43.73357370419873,0.9743450743632521
nagaoka_fireworks.png,nagaoka_fireworks_6_normalB.png,6,normal,B,40.908634290572124,0.8837641407970077
nagaoka_fireworks.png,nagaoka_fireworks_6_normalG.png,6,normal,G,40.89922097577276,0.883014617858911
nagaoka_fireworks.png,nagaoka_fireworks_6_normalI.png,6,normal,I,43.60612658000754,0.9743557144313587
nagaoka_fireworks.png,nagaoka_fireworks_6_normalR.png,6,normal,R,40.8924580364961,0.8841464017115807
nagaoka_fireworks.png,nagaoka_fireworks_6_normalX.png,6,normal,X,43.536934000288916,0.9752511118117559
nagaoka_fireworks.png,nagaoka_fireworks_7_invB.png,7,inv,B,40.44725220462915,0.882953129714392
nagaoka_fireworks.png,nagaoka_fireworks_7_invG.png,7,inv,G,40.46078779712274,0.8790420230889813
nagaoka_fireworks.png,nagaoka_fireworks_7_invI.png,7,inv,I,42.750180801269224,0.9732241731466016
nagaoka_fireworks.png,nagaoka_fireworks_7_invR.png,7,inv,R,40.46769436374159,0.8817449137004237
nagaoka_fireworks.png,nagaoka_fireworks_7_invX.png,7,inv,X,42.79388548195898,0.9742214989082126
