folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note
rice_I6,frame_00061.png,frame_00062.png,rice_I6\rgb_max_diff_maps\00061-00062-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.082874,0.651444,0.628205,0.028330,
rice_I6,frame_00062.png,frame_00063.png,rice_I6\rgb_max_diff_maps\00062-00063-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.061861,0.636588,0.623571,0.023999,
rice_I6,frame_00063.png,frame_00064.png,rice_I6\rgb_max_diff_maps\00063-00064-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.089924,0.694822,0.632805,0.019559,
rice_I6,frame_00064.png,frame_00065.png,rice_I6\rgb_max_diff_maps\00064-00065-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.065992,0.626746,0.623627,0.025660,
rice_I6,frame_00065.png,frame_00066.png,rice_I6\rgb_max_diff_maps\00065-00066-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.095928,0.691623,0.633860,0.024152,
rice_I6,frame_00066.png,frame_00067.png,rice_I6\rgb_max_diff_maps\00066-00067-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.550043,0.776183,0.764671,0.041037,
rice_I6,frame_00067.png,frame_00068.png,rice_I6\rgb_max_diff_maps\00067-00068-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.497009,0.796756,0.756470,0.036003,
rice_I6,frame_00068.png,frame_00069.png,rice_I6\rgb_max_diff_maps\00068-00069-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.088313,0.627831,0.627212,0.025919,
rice_I6,frame_00069.png,frame_00070.png,rice_I6\rgb_max_diff_maps\00069-00070-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.069572,0.600578,0.622316,0.022506,
rice_I6,frame_00070.png,frame_00071.png,rice_I6\rgb_max_diff_maps\00070-00071-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.094914,0.648619,0.630125,0.027426,
rice_I6,frame_00071.png,frame_00072.png,rice_I6\rgb_max_diff_maps\00071-00072-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.075748,0.645274,0.626494,0.024782,
rice_I6,frame_00072.png,frame_00073.png,rice_I6\rgb_max_diff_maps\00072-00073-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.081983,0.647778,0.627770,0.024772,
rice_I6,frame_00073.png,frame_00074.png,rice_I6\rgb_max_diff_maps\00073-00074-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.080467,0.651166,0.627752,0.025107,
rice_I6,frame_00074.png,frame_00075.png,rice_I6\rgb_max_diff_maps\00074-00075-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.083829,0.669231,0.629700,0.023965,
